issue_id,clean_text
23,xdigraph sucessorspredecessors doesnt handle multiedge migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg xdigraph neighborssucessorspredecessors doesnt handle multiedge xgraph neighbor problem nxxdigraphmultiedgestrue gaddedge gaddedge gaddedge print gsuccessors print rather trac hagberg digraph predecessor successor neighbor return multiedge self loop typo successor function fixe
24,digraph definition neighbor doesnt work search algorithm migrate trac httpsnetworkxlanlgovtracticket reporte dschult assigne hagberg digraphneighbors return successor predecessor search algorithm code assume neighbor yield successor develope primarily graph possible fixe include chang search algorithm look use neighbor place chang neighbor api digraph return successor chang graph api use successor instead neighbor trac hagberg fixe digraph neighborssucessors add sucessorsiter predecessorsiter xdigraph add test
25,improve shortest path memory usage migrate trac httpsnetworkxlanlgovtracticket reporte jfd assigne hagberg current implementation shortestpath use lot memory construct dict complete path target node understand neccesary specify next node path eg graph abcd instead return like would better say which generator path constructe keep current api python def shortestpathgsourcetargetnonecutoffnone targetsource return trivial path level current level nextlevelsetsource set node check next level pathssourcesource path hash path key source nextlevel thislevelnextlevel nextlevelset thislevel gneighborsv pathshaskeyw pathswv wtarget shortcut target none return pathsw nextleveladdw levellevel trac hagberg add predecessor function def predecessorgsourcetargetfalsecutofffalse return dictionary predecessor path source node optional target return predecessor source target cutoff limit number hop traverse example path graph gpathgraph print gnode predecessorg fixe code build shortest path predecessor dictionary left exercise
26,connecte component friend slow migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg connectedcomponents numberconnectedcomponents slow use code searchpy searchclasspy which isnt optimal rewrite pathsshortestpath trac hagberg spee connectedcomponents associate routine connectedcomponents numberconnectedcomponents connectedcomponetssubgraphs isconnecte nodeconnectedcomponents move searchpy pathspy use efficient shortestpathlength algorithm found should provide substantial speedup fixe
27,serious bug delet node xgraph xdigraph multiedgestrue migrate trac httpsnetworkxlanlgovtracticket reporte swart assigne hagberg gxgraphmultiedgestrue gaddedgea gaddedgeb gaddedgec gdeletenode exceptionsvalueerror traceback recent call last usersswartresearchnetworksmy networkx exampleschessxgraphconsole usersswartresearchnetworksnetworkxnetworkxbasepy deletenodeself try selfadjnkeys selfdeleteedgenu remove edge nu graph del selfadjn now remove node except keyerror networkxerror self usersswartresearchnetworksnetworkxnetworkxxbasepy deleteedgeself selfmultiedge selfhasedgennx nnx edge now remove selfadjnnremovex remove edge item list nn self loop selfadjnnremovex remove nn entry valueerror listremovex list trac hagberg xgraph xdigraph deletenode fixe multiedgestrue fixe trac hagberg xdigraph work trac hagberg fixe deletenode xdigraph multiedgestrue fixe
28,xgraph xdigraph multiedgestrue report exception deleteedge nonexistent edge migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg gxdigraphmultiedgestrue gaddedgeblue gdeleteedge gxdigraphmultiedgestrue traceback recent call last file stdin line file uaricnetworkxnetworkxxbasepy line deleteedge selfadjnnremovex remove edge item list should ignore silently trac hagberg xgraph xdigraph multiedgestrue deleteedge calle edge doesnt exist now fails silently fixe
29,include example generat graph writ file migrate trac httpsnetworkxlanlgovtracticket reporte list assigne hagberg would like use pygraphviz generate graph display webserver example writ pygraphviz generate graph filelike object real file say stringio format say png jpg svg would helpful render graph ouside scope pygraphviz tia trac hagberg pygraphviz doesnt wrapper graphviz layout engine easily render graph do like fhopentestdotw awritefh ossystemneato tpng testdot testpng see httpsnetworkxlanlgovwikifilepygraphviztrunkdocdrawpy want data back python could use ospopen like tmpfd tmpname tempfilemkstemp tmpfhosfdopentmpfdw awritetmpfh runprogneato args formatpng cmd joinrunprogargstformattmpname stdinstdoutstderrospopencmd
30,shortest path length pathspy fails python migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg networkx import barabasialbertgraph gorder gsize diameterg traceback recent call last file stdin line file usrlibpythonsitepackagesnetworkxpathspy line diameter file usrlibpythonsitepackagesnetworkxpathspy line eccentricity file usrlibpythonsitepackagesnetworkxpathspy line shortestpathlength attributeerror key trac hagberg wrap update dict nextlevelupdatedictgneighborsvwithlabelstrue add neighbor fixe
31,draw complains scope layout silent failure python migrate trac httpsnetworkxlanlgovtracticket reporte unknown assigne hagberg usrlibpythonsitepackagesnetworkxdrawingnxpylabpy drawg po withlabels kwds po none posnetworkxdrawingspringlayoutg default spr layout axgca attributeerror module object attribute springlayout trie chang posnetworkxdrawinglayoutspringlayoutg got similar response trac hagberg numeric python package miss setup import fails silently python even direct import networkxdrawinglayout im go leave bug open address silent failure case trac hagberg numeric support deprecate next release favor numpy also since python now officially release support eventually deprecate
32,should able choose numeric numpy migrate trac httpsnetworkxlanlgovtracticket reporte dschult assigne dschult put system numpy numeric spectrum threshold module use numpy available user ought able use either numpy numeric because package dont support numpy yet im worth putt lot effort since numeric presumably phase overcome trac hagberg use numpy available numeric second choice fixe
33,pygraphviz importerror libagraphso cannot open share object file file directory migrate trac httpsnetworkxlanlgovtracticket reporte peraltaalejandro assigne hagberg software python gcc graphviz linux kernel amd athlontm processor import pygraphviz traceback recent call last file stdin line file usrlibpythonsitepackagespygraphvizinitpy line pygraphviz import file usrlibpythonsitepackagespygraphvizpygraphvizpy line graphviz import file usrlibpythonsitepackagespygraphvizgraphvizpy line import graphviz importerror libagraphso cannot open share object file file directory usrlibgraphvizlibagraph usrlibgraphvizlibagraphla usrlibgraphvizlibagraphso usrlibgraphvizlibagraphso usrlibgraphvizlibagraphso first try edite line set include libs hand nonstandard installation graphviz includesprefixossepincludeossepgraphviz libsprefixosseplibossepgraphviz result help welcome thanks trac peraltaalejandro solve problem cd usrlib ln sf usrlibgraphvizlibagraphso libagraphso ln sf usrlibgraphvizlibcdtso libcdtso wrong path thanks trac hagberg thanks report fix think graphviz installs linux put librarie usrlibgraphviz lib case thus arent default search path runtime linker either use fix add entry etcldsoconf usrlibgraphviz run ldconfig
34,eccentricity radius diameter correct disconnecte graph migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg eccentricity definine disconnecte graph should cause exception trac hagberg eccentricity raise exception disconnecte graph fixe
35,connectedcomponentsubgraphs work properly migrate trac httpsnetworkxlanlgovtracticket reporte trac user mishas assigne hagberg networkx time today decide upgrade script build order deductor work properly investigation turne connectedcomponentsubgraphs work investigation found substantial change relate function attache script produce follow result networkx gtk gedit glib gtk glib gedit cc gtk gedit glib gtk glib gedit cc cc produce follow result networkx id put version available gtk gedit glib gtk glib gedit cc gtk gedit glib gtk glib gedit gtk gedit cc cc regard misha attachment trac trac user mishas badstuffpyhttpsnetworkxlanlgovtracattachmentticketbadstuffpy trac trac user mishas sorry forgot wikiformatt gtk gedit glib gtk glib gedit cc gtk gedit glib gtk glib gedit cc cc gtk gedit glib gtk glib gedit cc gtk gedit glib gtk glib gedit gtk gedit cc cc attachment trac hagberg topopyhttpsnetworkxlanlgovtracattachmenttickettopopy trac hagberg since mention build order think want topological attache version script order node base topological directe acyclic graph general think connecte component use undirecte graph undirecte representation directe graph arrow droppe also strongly connecte component directe graph mean bidirectional path two node nxpathsconnectedcomponents should right whatever im leav open trac mishas mikhailsobolev thanks topopy im topologicalsort later idea split work independent part connectedcomponentsubgraphs order component independently see point trac hagberg perhaps what want mak undirecte version graph find component import networkx nx edge nxdigraph daddedgesfromedge gdtoundirecte ccnxconnectedcomponentsg cc dsdsubgraphc print dsedge nxtopologicalsortds trac mishas mikhailsobolev thank much look different what do trac hagberg fixe trac hagberg fixe pas digraph connecte component function now raise exception applie terminology decsion term connecte should use digraph solution may final answer implementation should prevent confusion now might useful implement reachability strong connectiviy digraph
36,neighbor use withlabels doesnt match doc theme withlabels elsewhere migrate trac httpsnetworkxlanlgovtracticket reporte dschult assigne hagberg neighbor return list tuple withlabelstrue theme package return dict withlabelstrue least understand iterators return tuple withlabelstrue perhaps whole withlabels api need revisite make consistent least clear specification intent personally like asdictaslistasset keyword argument system rightfuly criticize oriente python language oppose graph metaphor another approach would always return specific form enough info let user convert data structure ie neighborsv always return list degreev return single value degree return dict listof tuple preferre neighborsiterv would iterate neighbor withlabels option trac dschult fixe
37,createus keyword available pathgraph migrate trac httpsnetworkxlanlgovtracticket reporte unknown assigne hagberg createus keyword available pathgraph others trac hagberg createus certainly adde appropriate case isnt clear what outcome should eg use createusingdigraph xdigraph pathgraph which direction should arrow point trac unknown pathgraph cyclegraph two classicpy which make sense digraph put createus keyword option trac hagberg im reopen discus want allow xgraph object xdigraph createus seems might want either allow createus generator provide code convert graph xgraph trac hagberg addresse now gbarbellgraph xgxgraphg which should cover case convert graph digraph might exactly what want given generator specify what mean
38,shortest path routine name interface proposal migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg proposal chang shortest path interface work generically singlesource bidirectional algorithm weighte graph proposal generic shortestpath shortestpathlength should attempt infer what algorithm call base argument graph type change shortestpath singlesourceshortestpath bidirectionalshortestpath bidirectionalshortestpath change dijkstra singlesourcedijkstra dijkstrabi bidirectionaldijkstra shortestpath new code call either singlesourceshortestpath bidirectdionalshortestpath depend argument target also attepts infer weighte graph call correct dijkstra function shortestpathlength new code len shortestpath result might slower dijkstrapath new code call singlesourcedijkstra bidirectionaldijkstra dijkstrapathlength new code len dijkstrapath result misc nee choose bidirectionalshortestpath bidirectionalshortestpath spee perhaps update bidirectionaldijkstra pythonic idiom trac hagberg proposal way tricky think generic shortestpath shortestpathlength should attempt infer what algorithm call base argument graph type rather algorithm name should explicit documente well change singlesourceshortestpath singlesourceshortestpath shortestpath wrapper singlesourceshortestpath target node provide trac hagberg normalize name shortest path dijkstra routine addresse trac hagberg change name hopefully reasonable
39,nbunch node sequence node give unclear error migrate trac httpsnetworkxlanlgovtracticket reporte dschult assigne hagberg every routine use nbunch exception thrown nbunch node also sequence result typeerror iteration nonsequence message confus because location error sometime line forloop nbunch occur edgesiter cousin which set ignore exception proposal reduce nbunch handl code line which isolate rest routine routine nbunch think follow possibility nbunch none include node nbunchselfnodesiter elif nbunch self single node graph nbunchnbunch try mak list nde nbunch sequence try nbunch nbunch self except typeerror iteration nonsequence raise networkxerror nbunch node sequence node what think also should edge family return empty list trac hagberg like hav clear error im favor long doesnt either make code substatially slower make code harder read seems like exactly opposite dont mind edge return empty list since often one iterate result
40,io routine fail unicode data migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg test modify work correctly unicode see httpwwwamkcapythonhowtounicode tip trac hagberg dont stringify exist string draw label addresse trac hagberg resolve modification add yaml support arbitrary delimiter character
41,createus keyword default creat instance graph migrate trac httpsnetworkxlanlgovtracticket reporte dschult assigne dschult many functionsmethods networkx use createusinggraph keyword argument create single instance graph which now default call function python idiom seems createusingnone test none code function trac dschult checke code keyword argument error aok
42,digraph draw pylab fails numeric migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg draw digraph nxpylab numeric fails work numpy import networkx nx nxdigraph gaddedgebg gaddedgebd gaddedgedf nxdrawg traceback recent call last file stdin line file cprogram filespythonlibsitepackagesnetworkxdrawingnxpylabpy line draw drawnetworkxg po axax withlabelswithlabels kwds file cprogram filespythonlibsitepackagesnetworkxdrawingnxpylabpy line drawnetworkx edgecollectiondrawnetworkxedgesg po axax kwds file cprogram filespythonlibsitepackagesnetworkxdrawingnxpylabpy line drawnetworkxedge dsqrtxxyy valueerror math domain error trac hagberg fixe add asarray wrapper data layout position ensure nxpylab consistently use array package specifie matplotlib configuration problem function layoutpy try use numpy first ff user choose numeric backend matplotlib result function nxpylabpy upredictable since mix numeric numpy array
